id1,id2,numax1,numax2,sep_arcsec,teff1,teff2,rad1,rad2,dist1,dist2
142015292,141978989,32.53008997305607,31.26090293475396,66.71054498568624,4604.0,4928.0,11.613,10.869,357.513,841.258
177385903,177385901,32.357369543846055,34.186733779436594,114.33775224108662,4924.0,4781.0,10.625,10.949,1413.07,2141.13
349157712,349157720,19.204810853679835,19.42842423504694,118.75392067335186,4531.9,4415.6,15.353,13.73,1243.66,1768.93
177385901,177385903,34.186733779436594,32.357369543846055,114.33775224108643,4781.0,4924.0,10.949,10.625,2141.13,1413.07
294925772,294925783,30.529464252186507,30.60099749761469,24.210875750020783,4665.0,4892.0,10.658,5.919,1353.52,1313.81
294925783,294925772,30.60099749761469,30.529464252186507,24.210875750010608,4892.0,4665.0,5.919,10.658,1313.81,1353.52
260305798,260305792,32.573198148945885,30.125449975217883,122.1050449695054,5045.0,4445.4,10.8,13.582,1219.97,759.208
260305798,260305790,32.573198148945885,29.82408873452808,136.53404044503176,5045.0,4806.0,10.8,3.573,1219.97,702.467
300325964,300325968,90.45296919323074,90.83440192195935,20.75595274890034,4741.0,5061.0,6.405,3.866,813.305,1262.81
300325968,300325964,90.83440192195935,90.45296919323074,20.755952748892277,5061.0,4741.0,3.866,6.405,1262.81,813.305
260305792,260305798,30.125449975217883,32.573198148945885,122.10504496950514,4445.4,5045.0,13.582,10.8,759.208,1219.97
260305792,260305790,30.125449975217883,29.82408873452808,16.604455045158304,4445.4,4806.0,13.582,3.573,759.208,702.467
167796097,167796093,30.61311753879909,33.469469112074925,84.8213808070669,4615.2,4721.6,11.225,11.342,702.331,1298.1
260305790,260305798,29.82408873452808,32.573198148945885,136.53404044503415,4806.0,5045.0,3.573,10.8,702.467,1219.97
260305790,260305792,29.82408873452808,30.125449975217883,16.604455045152562,4806.0,4445.4,3.573,13.582,702.467,759.208
167796093,167796097,33.469469112074925,30.61311753879909,84.82138080706633,4721.6,4615.2,11.342,11.225,1298.1,702.331
141089376,141027221,12.870421589277226,13.4777916928384,104.97050691307355,4821.0,4370.0,14.755,16.622,4755.28,1737.8
141027221,141089376,13.4777916928384,12.870421589277226,104.97050691307126,4370.0,4821.0,16.622,14.755,1737.8,4755.28
